03/10/2014,07:57:14.754,36.667,20000,3,X,
03/10/2014,08:02:41.459,36.714,50000,3,X,
03/10/2014,08:13:36.562,36.825,204000,3,X,
03/10/2014,08:57:41.929,36.624,150000,3,X,
03/10/2014,08:58:36.047,36.752,136400,3,X,
03/10/2014,10:00:06.717,36.78,358,0,,
03/10/2014,10:00:06.717,36.77,585,0,,
03/10/2014,10:00:06.875,36.77,180,0,,
03/10/2014,10:00:06.875,36.77,235,0,,
03/10/2014,10:00:06.875,36.78,550,0,,
03/10/2014,10:00:07.557,36.77,273,0,,
03/10/2014,10:00:08.675,36.77,300,0,,
03/10/2014,10:00:08.675,36.77,11,0,,
03/10/2014,10:00:08.675,36.77,659,0,,
03/10/2014,10:00:08.787,36.76,500,0,,
03/10/2014,10:00:09.013,36.75,150,0,,
03/10/2014,10:00:09.013,36.75,150,0,,
03/10/2014,10:00:10.027,36.75,400,0,,
03/10/2014,10:00:10.452,36.77,273,0,,
03/10/2014,10:00:10.452,36.77,136,0,,
03/10/2014,10:00:10.452,36.78,1441,0,,
03/10/2014,10:00:12.739,36.75,1000,0,,
03/10/2014,10:00:15.243,36.765,93,25,,
03/10/2014,10:00:15.243,36.76,1,0,,
03/10/2014,10:00:15.243,36.75,116,0,,
03/10/2014,10:00:15.243,36.75,680,0,,
03/10/2014,10:00:15.243,36.75,1000,0,,
03/10/2014,10:00:15.243,36.75,10000,0,,
03/10/2014,10:00:15.243,36.75,5000,0,,
03/10/2014,10:00:15.243,36.75,15,0,,
03/10/2014,10:00:15.243,36.75,11,0,,
03/10/2014,10:00:15.243,36.75,121,0,,
03/10/2014,10:00:15.530,36.73,268,0,,
03/10/2014,10:00:15.530,36.73,3,0,,
03/10/2014,10:00:18.516,36.74,194,0,,
03/10/2014,10:00:18.516,36.74,209,0,,
03/10/2014,10:00:18.516,36.74,201,0,,
03/10/2014,10:00:18.516,36.74,147,0,,
03/10/2014,10:00:18.516,36.74,74,0,,
03/10/2014,10:00:24.571,36.72,1000,0,,
03/10/2014,10:00:26.389,36.73,5000,0,,
03/10/2014,10:00:26.389,36.73,2500,0,,
03/10/2014,10:00:26.389,36.74,3209,0,,
03/10/2014,10:00:26.389,36.74,541,0,,
03/10/2014,10:00:27.329,36.75,1000,0,,
03/10/2014,10:00:28.397,36.75,800,0,,
03/10/2014,10:00:34.328,36.75,1163,0,,
03/10/2014,10:00:34.328,36.75,1337,0,,
03/10/2014,10:00:34.537,36.73,158,0,,
