company id,declared date,ex_date,record_date,pay_date,net amount,gross amount,currency type
7078,09/25/2013,03/03/2014,03/07/2014,03/26/2014,0.59,0.842857,USD
7458,01/15/2014,03/05/2014,03/12/2014,04/10/2014,1.2014,1.716286,AUD
